kode,path,module,file_name,class_name,func_name,order_id,permission,parent_id/routes.kode,nama,status,type,app_id,is_menu,template,csrf
base-groups-act,/groups/{act}/act,base,groups,,,,admin,base-groups,Groups Action,1,0,,,json,
base-groups-add,/groups/add,base,groups,,,,admin,base-groups,Groups Add,1,0,,,form6.pt,
base-groups-edit,/groups/{id}/edit,base,groups,,,,admin,base-groups,Groups Edit,1,0,,,form6.pt,
base-groups-view,/groups/{id}/view,base,groups,,,,admin,base-groups,Groups View,1,0,,,form6.pt,
base-groups-delete,/groups/{id}/delete,base,groups,,,,admin,base-groups,Groups Delete,1,0,,,form6.pt,
base-groups-upload,/groups/upload,base,groups,,,,admin,base-groups,Groups Uload,1,0,,,form6.pt,
base-upload-logo,/upload/logo,,,,,,admin,base-admin,Upload Logo,1,0,,1,upload.pt,1
googleOauth2,/googleOauth2,,,,,,,,Google Oauth2,1,1,,0,json,
googlesignin,/googlesignin,base,,,,1,,,GoogleSignIn,1,1,,0,json,
base-departemen,/departemen,base,departemen,,view_list,,admin,base-admin,Departemen,1,0,,1,form.pt,
base-departemen-act,/departemen/{act}/act,base,departemen,,,,admin,base-departemen,Departemen Action,1,0,,,json,
base-departemen-add,/departemen/add,base,departemen,,,,admin,base-departemen,Departemen Add,1,0,,,form6.pt,
base-departemen-edit,/departemen/{id}/edit,base,departemen,,,,admin,base-departemen,Departemen Edit,1,0,,,form6.pt,
base-departemen-view,/departemen/{id}/view,base,departemen,,,,admin,base-departemen,Departemen View,1,0,,,form6.pt,
base-departemen-delete,/departemen/{id}/delete,base,departemen,,,,admin,base-departemen,Departemen Delete,1,0,,,form6.pt,
base-departemen-upload,/departemen/upload,base,departemen,,,,admin,base-departemen,Departemen Uload,1,0,,,form6.pt,
departemen-chg,/departemen/change,base,departemen_chg,,view_change,,dept-change,,Ubah Departemen,1,0,,,form.pt,
base-provinsi,/provinsi,base,provinsi,,view_list,,admin,base-admin,Provinsi,1,0,,1,form.pt,
base-provinsi-act,/provinsi/{act}/act,base,provinsi,,,,admin,base-provinsi,Provinsi Action,1,0,,,json,
base-provinsi-add,/provinsi/add,base,provinsi,,,,admin,base-provinsi,Provinsi Add,1,0,,,form6.pt,
base-provinsi-edit,/provinsi/{id}/edit,base,provinsi,,,,admin,base-provinsi,Provinsi Edit,1,0,,,form6.pt,
base-provinsi-view,/provinsi/{id}/view,base,provinsi,,,,admin,base-provinsi,Provinsi View,1,0,,,form6.pt,
base-provinsi-delete,/provinsi/{id}/delete,base,provinsi,,,,admin,base-provinsi,Provinsi Delete,1,0,,,form6.pt,
base-provinsi-upload,/provinsi/upload,base,provinsi,,,,admin,base-provinsi,Provinsi Uload,1,0,,,form6.pt,
base-dati2,/dati2,base,dati2,,view_list,,admin,base-admin,Dati2,1,0,,1,form.pt,
base-dati2-act,/dati2/{act}/act,base,dati2,,,,admin,base-dati2,Dati2 Action,1,0,,,json,
base-dati2-add,/dati2/add,base,dati2,,,,admin,base-dati2,Dati2 Add,1,0,,,form6.pt,
base-dati2-edit,/dati2/{id}/edit,base,dati2,,,,admin,base-dati2,Dati2 Edit,1,0,,,form6.pt,
base-dati2-view,/dati2/{id}/view,base,dati2,,,,admin,base-dati2,Da/user/areati2 View,1,0,,,form6.pt,
base-dati2-delete,/dati2/{id}/delete,base,dati2,,,,admin,base-dati2,Dati2 Delete,1,0,,,form6.pt,
base-dati2-upload,/dati2/upload,base,dati2,,,,admin,base-dati2,Dati2 Uload,1,0,,,form6.pt,
base-kecamatan,/kecamatan,base,kecamatan,,view_list,,admin,base-admin,Kecamatan,1,0,,1,form.pt,
base-kecamatan-act,/kecamatan/{act}/act,base,kecamatan,,,,admin,base-kecamatan,Kecamatan Action,1,0,,,json,
base-kecamatan-add,/kecamatan/add,base,kecamatan,,,,admin,base-kecamatan,Kecamatan Add,1,0,,,form6.pt,
base-kecamatan-edit,/kecamatan/{id}/edit,base,kecamatan,,,,admin,base-kecamatan,Kecamatan Edit,1,0,,,form6.pt,
base-kecamatan-view,/kecamatan/{id}/view,base,kecamatan,,,,admin,base-kecamatan,Kecamatan View,1,0,,,form6.pt,
base-kecamatan-delete,/kecamatan/{id}/delete,base,kecamatan,,,,admin,base-kecamatan,Kecamatan Delete,1,0,,,form6.pt,
base-kecamatan-upload,/kecamatan/upload,base,kecamatan,,,,admin,base-kecamatan,Kecamatan Uload,1,0,,,form6.pt,
base-desa,/desa,base,desa,,view_list,,admin,base-admin,Desa,1,0,,1,form.pt,
base-desa-act,/desa/{act}/act,base,desa,,,,admin,base-desa,Desa Action,1,0,,,json,
base-desa-add,/desa/add,base,desa,,,,admin,base-desa,Desa Add,1,0,,,form6.pt,
base-desa-edit,/desa/{id}/edit,base,desa,,,,admin,base-desa,Desa Edit,1,0,,,form6.pt,
base-desa-view,/desa/{id}/view,base,desa,,,,admin,base-desa,Desa View,1,0,,,form6.pt,
base-desa-delete,/desa/{id}/delete,base,desa,,,,admin,base-desa,Desa Delete,1,0,,,form6.pt,
base-desa-upload,/desa/upload,base,desa,,,,admin,base-desa,Desa Uload,1,0,,,form6.pt,
base-user-area,/user/area,base,user_area,,view_list,,admin,base-admin,User-area,1,0,,1,form.pt,
base-user-area-act,/user/area/{act}/act,base,user_area,,,,admin,base-user-area,User-area Action,1,0,,,json,
base-user-area-add,/user/area/add,base,user_area,,,,admin,base-user-area,User-area Add,1,0,,,form6.pt,
base-user-area-edit,/user/area/{id}/edit,base,user_area,,,,admin,base-user-area,User-area Edit,1,0,,,form6.pt,
base-user-area-view,/user/area/{id}/view,base,user_area,,,,admin,base-user-area,User-area View,1,0,,,form6.pt,
base-user-area-delete,/user/area/{id}/delete,base,user_area,,,,admin,base-user-area,User-area Delete,1,0,,,form6.pt,
base-test,/test,base,web_test_http,,view_add,,,,Test HTTP,1,0,,,test.pt
base-partner-departemen,/partner/departemen,base,posisi,,view_list,,admin,base-admin,Partner-departemen,1,0,,1,form.pt,
base-partner-departemen-act,/partner/departemen/{act}/act,base,posisi,,,,admin,base-partner-departemen,Partner-departemen Action,1,0,,,json,
base-partner-departemen-add,/partner/departemen/add,base,posisi,,,,admin,base-partner-departemen,Partner-departemen Add,1,0,,,form6.pt,
base-partner-departemen-edit,/partner/departemen/{id}/edit,base,posisi,,,,admin,base-partner-departemen,Partner-departemen Edit,1,0,,,form6.pt,
base-partner-departemen-view,/partner/departemen/{id}/view,base,posisi,,,,admin,base-partner-departemen,Partner-departemen View,1,0,,,form6.pt,
base-partner-departemen-delete,/partner/departemen/{id}/delete,base,posisi,,,,admin,base-partner-departemen,Partner-departemen Delete,1,0,,,form6.pt,
base-jabatan,/jabatan,base,jabatan,,view_list,,admin,base-admin,Jabatan,1,0,,1,form.pt,
base-jabatan-act,/jabatan/{act}/act,base,jabatan,,,,admin,base-jabatan,Jabatan Action,1,0,,,json,
base-jabatan-add,/jabatan/add,base,jabatan,,,,admin,base-jabatan,Jabatan Add,1,0,,,form6.pt,
base-jabatan-edit,/jabatan/{id}/edit,base,jabatan,,,,admin,base-jabatan,Jabatan Edit,1,0,,,form6.pt,
base-jabatan-view,/jabatan/{id}/view,base,jabatan,,,,admin,base-jabatan,Jabatan View,1,0,,,form6.pt,
base-jabatan-delete,/jabatan/{id}/delete,base,jabatan,,,,admin,base-jabatan,Jabatan Delete,1,0,,,form6.pt,
base-pangkat,/pangkat,base,pangkat,,view_list,,admin,base-admin,Pangkat,1,0,,1,form.pt,
base-pangkat-act,/pangkat/{act}/act,base,pangkat,,,,admin,base-pangkat,Pangkat Action,1,0,,,json,
base-pangkat-add,/pangkat/add,base,pangkat,,,,admin,base-pangkat,Pangkat Add,1,0,,,form6.pt,
base-pangkat-edit,/pangkat/{id}/edit,base,pangkat,,,,admin,base-pangkat,Pangkat Edit,1,0,,,form6.pt,
base-pangkat-view,/pangkat/{id}/view,base,pangkat,,,,admin,base-pangkat,Pangkat View,1,0,,,form6.pt,
base-pangkat-delete,/pangkat/{id}/delete,base,pangkat,,,,admin,base-pangkat,Pangkat Delete,1,0,,,form6.pt,
base-eselon,/eselon,base,eselon,,view_list,,admin,base-admin,Eselon,1,0,,1,form.pt,
base-eselon-act,/eselon/{act}/act,base,eselon,,,,admin,base-eselon,Eselon Action,1,0,,,json,
base-eselon-add,/eselon/add,base,eselon,,,,admin,base-eselon,Eselon Add,1,0,,,form6.pt,
base-eselon-edit,/eselon/{id}/edit,base,eselon,,,,admin,base-eselon,Eselon Edit,1,0,,,form6.pt,
base-eselon-view,/eselon/{id}/view,base,eselon,,,,admin,base-eselon,Eselon View,1,0,,,form6.pt,
base-eselon-delete,/eselon/{id}/delete,base,eselon,,,,admin,base-eselon,Eselon Delete,1,0,,,form6.pt,
base-xhr-test,/xhr/test,,xhr_test,,view_list,,admin,base-admin,Test,1,0,,1,test_list.pt
base-xhr-test-act,/xhr/test/{act}/act,base,xhr_test,,,,admin,base-test,Test Action,1,0,,,json,
base-xhr-test-add,/xhr/test/add,base,xhr_test,,,,admin,base-test,Test Add,1,0,,,test_form.pt,
base-xhr-test-edit,/xhr/test/{id}/edit,base,xhr_test,,,,admin,base-test,Test Edit,1,0,,,test_form.pt,
base-xhr-test-view,/xhr/test/{id}/view,base,xhr_test,,,,admin,base-test,Test View,1,0,,,test_form.pt,
base-xhr-test-delete,/xhr/test/{id}/delete,base,xhr_test,,,,admin,base-test,Test Delete,1,0,,,test_form.pt,
base-xhr-test-api,/xhr/test/api,,xhr_test,ViewsApi,,,admin,,API Test,1,2,,,
